abbotsp01,Spencer Abbott,2014-2017,0,,,,,4
abdelju01,Justin Abdelkader,2008-2020,0,,,,,1982
abergpo01,Pontus Åberg,2017-2020,0,,,,,658
abramvi01,Vitaly Abramov,2019-2021,1,,,,,18
abruzni01,Nicholas Abruzzese,2022-2023,1,,,,,42
acciano01,Noel Acciari,2016-2024,1,,,,,1938
actonwi01,Will Acton,2014-2015,0,,,,,76
adamlu01,Luke Adam,2011-2015,0,,,,,232
adamscr01,Craig Adams,2001-2015,0,,,,,2498
adamske01,Kevyn Adams,1998-2008,0,,,,,1914
addisca01,Calen Addison,2021-2024,1,,,,,873
aebisda01,David Aebischer,2001-2008,0,,,,,544
afanaeg01,Egor  Afanasyev,2023-2024,1,,,,,60
afinoma01,Maxim Afinogenov,2000-2010,0,,,,,2092
agostke01,Kenny Agostino,2014-2021,1,,,,,609
agozzan01,Andrew Agozzino,2015-2023,1,,,,,264
ahcanja01,Jack Ahcan,2021-2022,1,,,,,30
ahose01,Sebastian Aho,2017-2024,1,,,,,3465
ahose02,Sebastian Aho,2018-2024,1,,,,,720
aittosa01,Sami Aittokallio,2013-2014,0,,,,,4
akesoja01,Jason Akeson,2013-2015,0,,,,,34
alberjo01,John Albert,2014,0,,,,,20
alberan01,Andrew Alberts,2006-2014,0,,,,,1204
alexaje01,Jett Alexander,2023,1,,,,,3
alexani01,Nikita Alexandrov,2023-2024,1,,,,,180
alexeal01,Alexander Alexeyev,2022-2024,1,,,,,240
alfreda01,Daniel Alfredsson,1996-2014,0,,,,,4806
aliuak01,Akim Aliu,2012-2013,0,,,,,20
allarfr01,Frédéric Allard,2021-2023,1,,,,,12
allenbo01,Bobby Allen,2003-2008,0,,,,,108
allenbr01,Bryan Allen,2001-2015,0,,,,,1918
allenco01,Conor Allen,2014-2015,0,,,,,14
allenja01,Jake Allen,2013-2024,1,,,,,1410
alliswa01,Wade Allison,2021-2023,1,,,,,291
almonco01,Cody Almond,2010-2012,0,,,,,54
almqvad01,Adam Almqvist,2014,0,,,,,6
alnefhu01,Hugo Alnefelt,2022,1,,,,,3
alsinol01,Olle Alsing,2021,1,,,,,12
altma01,Mark Alt,2015-2021,1,,,,,105
alvesjo01,Jorge Alves,2017,0,,,,,2
alzneka01,Karl Alzner,2009-2020,0,,,,,1632
amadimi01,Michael Amadio,2018-2024,1,,,,,1749
amanni01,Nils Åman,2023-2024,1,,,,,402
