aaltoan01,Antti Aalto,1998-2001,0,,,,,358
abbeybr01,Bruce Abbey,1976,0,,,,,36
abbotge01,George Abbott,1944,0,,,,,2
abbotre01,Reg Abbott,1953,0,,,,,6
abbotsp01,Spencer Abbott,2014-2017,0,,,,,4
abdelju01,Justin Abdelkader,2008-2020,0,,,,,1982
abelcl01,Clarence Abel,1927-1934,0,,,,,742
abelge01,Gerry Abel,1967,0,,,,,2
abelsi01,Sid Abel,1939-1954,0,,,,,2168
abergpo01,Pontus Åberg,2017-2020,0,,,,,658
abgrade01,Dennis Abgrall,1976-1978,0,,,,,492
abidra01,Ramzi Abid,2003-2007,0,,,,,298
abrahch01,Christer Abrahamsson,1975-1977,0,,,,,208
abrahth01,Thommy Abrahamsson,1975-1981,0,,,,,694
abramvi01,Vitaly Abramov,2019-2021,1,,,,,18
abruzni01,Nicholas Abruzzese,2022-2023,1,,,,,42
acciano01,Noel Acciari,2016-2024,1,,,,,1938
achtyge01,Gene Achtymichuk,1952-1959,0,,,,,80
acombdo01,Doug Acomb,1970,0,,,,,6
actonke01,Keith Acton,1980-1994,0,,,,,4078
actonwi01,Will Acton,2014-2015,0,,,,,76
adairji01,Jim Adair,1974,0,,,,,198
adamdo01,Douglas Adam,1950,0,,,,,10
adamlu01,Luke Adam,2011-2015,0,,,,,232
adamru01,Russ Adam,1983,0,,,,,22
adamipe01,Petr Adamik,1979,0,,,,,16
adamsbr01,Bryan Adams,2000-2001,0,,,,,24
adamscr01,Craig Adams,2001-2015,0,,,,,2498
adamsgr02,Greg Adams,1985-2001,0,,,,,3726
adamsgr01,Greg Adams,1981-1990,0,,,,,1792
adamsja01,Jack Adams,1918-1927,0,,,,,596
adamsjo01,John Adams,1941,0,,,,,120
adamsjo02,John Adams,1973-1975,0,,,,,44
adamske01,Kevyn Adams,1998-2008,0,,,,,1914
adamsst01,Stew Adams,1930-1933,0,,,,,256
addisca01,Calen Addison,2021-2024,1,,,,,873
adduora01,Ray Adduono,1974-1978,0,,,,,1002
adduori01,Rick Adduono,1976-1980,0,,,,,274
aebisda01,David Aebischer,2001-2008,0,,,,,544
afanadm01,Dmitry Afanasenkov,2001-2007,0,,,,,752
afanaeg01,Egor  Afanasyev,2023-2024,1,,,,,60
afflebr01,Bruce Affleck,1975-1984,0,,,,,720
afinoma01,Maxim Afinogenov,2000-2010,0,,,,,2092
agnewji01,Jim Agnew,1987-1993,0,,,,,164
agostke01,Kenny Agostino,2014-2021,1,,,,,609
