EDO,Alberta Oilers,1973,0,,,,,
ANA,Anaheim Ducks,2007-2025,1,,,,,
ARI,Arizona Coyotes,2015-2024,1,,,,,
CGY,Atlanta Flames,1973-1980,0,,,,,
WPG,Atlanta Thrashers,2000-2011,0,,,,,
BRB,Birmingham Bulls,1977-1979,0,,,,,
BOS,Boston Bruins,1925-2025,1,,,,,
NYA,Brooklyn Americans,1942,0,,,,,
BUF,Buffalo Sabres,1971-2025,1,,,,,
CGC,Calgary Cowboys,1976-1977,0,,,,,
CGY,Calgary Flames,1981-2025,1,,,,,
CLE,California Golden Seals,1971-1976,0,,,,,
CAR,Carolina Hurricanes,1998-2025,1,,,,,
CHI,Chicago Black Hawks,1927-1986,0,,,,,
CHI,Chicago Blackhawks,1987-2025,1,,,,,
CHC,Chicago Cougars,1973-1975,0,,,,,
CNS,Cincinnati Stingers,1976-1979,0,,,,,
CLE,Cleveland Barons,1977-1978,0,,,,,
MNF,Cleveland Crusaders,1973-1976,0,,,,,
COL,Colorado Avalanche,1996-2025,1,,,,,
NJD,Colorado Rockies,1977-1982,0,,,,,
CBJ,Columbus Blue Jackets,2001-2025,1,,,,,
CZC,Czechoslovakia,1978-1979,0,,,,,
DAL,Dallas Stars,1994-2025,1,,,,,
OTC,Denver Spurs/Ottawa Civics,1976,0,,,,,
DET,Detroit Cougars,1927-1930,0,,,,,
DET,Detroit Falcons,1931-1932,0,,,,,
DET,Detroit Red Wings,1933-2025,1,,,,,
EDO,Edmonton Oilers,1974-1979,0,,,,,
EDM,Edmonton Oilers,1980-2025,1,,,,,
FNL,Finland,1979,0,,,,,
FLA,Florida Panthers,1994-2025,1,,,,,
HAM,Hamilton Tigers,1921-1925,0,,,,,
CAR,Hartford Whalers,1980-1997,0,,,,,
HSA,Houston Aeros,1973-1978,0,,,,,
INR,Indianapolis Racers,1975-1979,0,,,,,
NJD,Kansas City Scouts,1975-1976,0,,,,,
LAK,Los Angeles Kings,1968-2025,1,,,,,
BLB,Los Angeles Sharks,1973-1974,0,,,,,
BLB,Michigan Stags/Baltimore Blades,1975,0,,,,,
ANA,Mighty Ducks of Anaheim,1994-2006,0,,,,,
MFS,Minnesota Fighting Saints,1973-1976,0,,,,,
MNF,Minnesota Fighting Saints,1977,0,,,,,
DAL,Minnesota North Stars,1968-1993,0,,,,,
MIN,Minnesota Wild,2001-2025,1,,,,,
MTL,Montreal Canadiens,1918-2025,1,,,,,
MTM,Montreal Maroons,1925-1938,0,,,,,
MTW,Montreal Wanderers,1918,0,,,,,
NSH,Nashville Predators,1999-2025,1,,,,,
NEW,New England Whalers,1973-1979,0,,,,,
NJD,New Jersey Devils,1983-2025,1,,,,,
NYA,New York Americans,1926-1941,0,,,,,
SDM,New York Golden Blades/Jersey Knights,1974,0,,,,,
NYI,New York Islanders,1973-2025,1,,,,,
SDM,New York Raiders,1973,0,,,,,
NYR,New York Rangers,1927-2025,1,,,,,
CLE,Oakland Seals,1968-1970,0,,,,,
BRB,Ottawa Nationals,1973,0,,,,,
OTS,Ottawa Senators,1918-1934,0,,,,,
OTT,Ottawa Senators,1993-2025,1,,,,,
CGC,Philadelphia Blazers,1973,0,,,,,
PHI,Philadelphia Flyers,1968-2025,1,,,,,
PTP,Philadelphia Quakers,1931,0,,,,,
PHX,Phoenix Coyotes,1997-2014,0,,,,,
PHR,Phoenix Roadrunners,1975-1977,0,,,,,
PIT,Pittsburgh Penguins,1968-2025,1,,,,,
PTP,Pittsburgh Pirates,1926-1930,0,,,,,
HAM,Quebec Athletic Club/Bulldogs,1920,0,,,,,
QBN,Quebec Nordiques,1973-1979,0,,,,,
COL,Quebec Nordiques,1980-1995,0,,,,,
SDM,San Diego Mariners,1975-1977,0,,,,,
SJS,San Jose Sharks,1992-2025,1,,,,,
SEA,Seattle Kraken,2022-2025,1,,,,,
SVT,Soviet All-Stars,1978-1979,0,,,,,
STL,St. Louis Blues,1968-2025,1,,,,,
OTS,St. Louis Eagles,1935,0,,,,,
TBL,Tampa Bay Lightning,1993-2025,1,,,,,
TOR,Toronto Arenas,1918-1919,0,,,,,
TOR,Toronto Maple Leafs,1927-2025,1,,,,,
TOR,Toronto St. Patricks,1920-1926,0,,,,,
BRB,Toronto Toros,1974-1976,0,,,,,
UTA,Utah Hockey Club,2025,1,,,,,
CGC,Vancouver Blazers,1974-1975,0,,,,,
VAN,Vancouver Canucks,1971-2025,1,,,,,
VEG,Vegas Golden Knights,2018-2025,1,,,,,
WSH,Washington Capitals,1975-2025,1,,,,,
WNJ,Winnipeg Jets,1973-1979,0,,,,,
PHX,Winnipeg Jets,1980-1996,0,,,,,
WPG,Winnipeg Jets,2012-2025,1,,,,,
